,number,forename,surname,dob,nationality,points,wins,avgMillisecondsLap,pitStop,lapOfPitStop,timeOfPitStop,MillisecondsOfPitStop,startingPos,finalPos,totalLaps,timeToFinish,millisecondsToFinish,fastestLap,fastestLapRank,fastestLapTime,fastestLapSpeed,year,raceNumber,name,date,time,status,location,country,lat,lng,alt
0,44,Lewis,Hamilton,1985-01-07,British,18.0,0,88800.82456140351,1,17,16:31:40,21709,1,2,57,+9.975,5061647,44,6,1:27.033,219.351,2017,1,Australian Grand Prix,2017-03-26,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
1,7,Kimi,Räikkönen,1979-10-17,Finnish,12.0,0,89018.68421052632,1,26,16:45:16,22033,4,4,57,+22.393,5074065,56,1,1:26.538,220.605,2017,1,Australian Grand Prix,2017-03-26,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
2,19,Felipe,Massa,1981-04-25,Brazilian,8.0,0,90088.73684210527,1,20,16:36:44,21568,7,6,57,+1:23.386,5135058,49,9,1:28.045,216.830,2017,1,Australian Grand Prix,2017-03-26,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
3,5,Sebastian,Vettel,1987-07-03,German,25.0,1,88625.82456140351,1,23,16:40:32,21988,2,1,57,1:24:11.672,5051672,53,3,1:26.638,220.351,2017,1,Australian Grand Prix,2017-03-26,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
4,77,Valtteri,Bottas,1989-08-28,Finnish,15.0,0,88823.19298245614,1,25,16:43:42,21440,3,3,57,+11.250,5062922,56,2,1:26.593,220.465,2017,1,Australian Grand Prix,2017-03-26,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
5,33,Max,Verstappen,1997-09-30,Dutch,10.0,0,89131.56140350878,1,25,16:43:56,22208,5,5,57,+28.827,5080499,43,5,1:26.964,219.525,2017,1,Australian Grand Prix,2017-03-26,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
6,44,Lewis,Hamilton,1985-01-07,British,18.0,0,92975.10344827586,1,16,17:28:24,23227,2,2,58,+22.297,5392556,41,8,1:30.314,211.382,2011,1,Australian Grand Prix,2011-03-27,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
7,44,Lewis,Hamilton,1985-01-07,British,18.0,0,92975.10344827586,2,36,17:59:29,23199,2,2,58,+22.297,5392556,41,8,1:30.314,211.382,2011,1,Australian Grand Prix,2011-03-27,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
8,14,Fernando,Alonso,1981-07-29,Spanish,12.0,0,93138.46551724138,1,12,17:22:34,23251,5,4,58,+31.772,5402031,49,2,1:29.487,213.336,2011,1,Australian Grand Prix,2011-03-27,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
9,14,Fernando,Alonso,1981-07-29,Spanish,12.0,0,93138.46551724138,2,27,17:46:04,24733,5,4,58,+31.772,5402031,49,2,1:29.487,213.336,2011,1,Australian Grand Prix,2011-03-27,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
10,14,Fernando,Alonso,1981-07-29,Spanish,12.0,0,93138.46551724138,3,42,18:09:08,24181,5,4,58,+31.772,5402031,49,2,1:29.487,213.336,2011,1,Australian Grand Prix,2011-03-27,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
11,19,Felipe,Massa,1981-04-25,Brazilian,6.0,0,94059.39655172414,1,13,17:24:10,23842,8,7,58,+1:25.186,5455445,55,1,1:28.947,214.631,2011,1,Australian Grand Prix,2011-03-27,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
